 [2536/4689 54:20 < 46:10, 0.78 it/s, Epoch 1.62/3]
Step	Training Loss
1	2.995400
2	3.066100
3	3.253800
4	3.188200
5	3.199400
6	3.231900
7	3.134600
8	3.170600
9	3.258700
10	3.267100
11	3.094800
12	3.057000
13	3.199000
14	2.887600
15	2.971100
16	2.938100
17	2.993900
18	2.865300
19	2.704700
20	2.782300
21	2.750800
22	2.568700
23	2.606600
24	2.609200
25	2.592100
26	2.605700
27	2.670200
28	2.499700
29	2.475100
30	2.574400
31	2.499700
32	2.475900
33	2.461900
34	2.404300
35	2.410400
36	2.183700
37	2.459700
38	2.545600
39	2.349300
40	2.557300
41	2.433000
42	2.492000
43	2.290500
44	2.437600
45	2.340700
46	2.485900
47	2.373600
48	2.192100
49	2.447300
50	2.419100
51	2.247900
52	2.421800
53	2.353600
54	2.323700
55	2.331900
56	2.462200
57	2.418300
58	2.427600
59	2.221200
60	2.300500
61	2.434600
62	2.361000
63	2.356600
64	2.273300
65	2.180600
66	2.277600
67	2.355500
68	2.242700
69	2.240500
70	2.525500
71	2.415500
72	2.347600
73	2.349400
74	2.235000
75	2.320100
76	2.447000
77	2.364600
78	2.355000
79	2.292200
80	2.265900
81	2.283600
82	2.394900
83	2.368900
84	2.318900
85	2.220400
86	2.362000
87	2.316400
88	2.134300
89	2.141500
90	2.381800
91	2.326600
92	2.358900
93	2.457500
94	2.290700
95	2.291000
96	2.158100
97	2.233800
98	2.418000
99	2.426700
100	2.325000
101	2.263300
102	2.240100
103	2.255100
104	2.286900
105	2.242200
106	2.268000
107	2.310800
108	2.306000
109	2.257500
110	2.329800
111	2.207700
112	2.312600
113	2.309500
114	2.287400
115	2.199000
116	2.231300
117	2.271400
118	2.224700
119	2.129300
120	2.251400
121	2.316400
122	2.275900
123	2.331600
124	2.156700
125	2.435500
126	2.363700
127	2.276800
128	2.271300
129	2.017200
130	2.238300
131	2.252500
132	2.320800
133	2.010400
134	2.388100
135	2.219700
136	2.288100
137	2.100900
138	2.106400
139	2.253100
140	2.259600
141	2.188400
142	2.308000
143	2.294400
144	2.318900
145	2.266100
146	2.165700
147	2.220300
148	2.240500
149	2.240200
150	2.214400
151	2.253500
152	2.120500
153	2.242700
154	2.333000
155	2.295100
156	2.377600
157	2.210200
158	2.254800
159	2.193600
160	2.275900
161	2.259800
162	2.258800
163	2.197400
164	2.259400
165	2.163300
166	2.261800
167	2.096900
168	2.329800
169	2.269900
170	2.130800
171	2.205500
172	2.134400
173	2.416700
174	2.058900
175	2.181700
176	2.261300
177	2.120600
178	2.136300
179	2.136500
180	2.252500
181	2.195700
182	2.254000
183	2.127200
184	2.384400
185	2.116700
186	2.219900
187	2.240400
188	2.427600
189	2.243800
190	2.235900
191	2.247900
192	2.292100
193	2.246900
194	2.130000
195	2.237900
196	2.376700
197	2.202100
198	2.285700
199	2.143800
200	2.140500
201	2.153200
202	2.174100
203	2.236800
204	2.214300
205	2.178800
206	2.205000
207	2.013700
208	2.336400
209	2.180700
210	2.252200
211	2.367400
212	2.251700
213	2.251400
214	2.161700
215	2.093100
216	2.130700
217	2.219400
218	2.309000
219	2.177900
220	2.292500
221	2.119400
222	2.314900
223	2.283300
224	2.301800
225	2.194800
226	2.209700
227	2.177100
228	2.269200
229	2.020300
230	2.316400
231	2.150600
232	2.196000
233	2.051000
234	2.328300
235	2.136200
236	2.337900
237	2.200600
238	2.440800
239	2.211400
240	2.194900
241	2.250500
242	2.138300
243	2.218400
244	2.212500
245	2.043700
246	2.082100
247	2.294200
248	2.128700
249	2.320600
250	2.280300
251	2.301900
252	2.191400
253	2.228800
254	2.134100
255	2.264900
256	2.307500
257	2.184800
258	2.014000
259	2.350600
260	2.271400
261	2.124600
262	2.195800
263	2.147400
264	2.188700
265	2.208800
266	2.022700
267	2.265900
268	2.233000
269	2.139600
270	2.272400
271	2.250500
272	2.228900
273	2.178300
274	2.209800
275	2.183500
276	2.243000
277	2.178000
278	2.164200
279	2.268000
280	2.015900
281	2.313300
282	2.177300
283	2.091700
284	2.204700
285	2.071300
286	2.213500
287	2.176600
288	1.878300
289	2.225900
