Step	Training Loss
1	2.995400
2	3.066100
3	3.251800
4	3.190500
5	3.202200
6	3.235600
7	3.143900
8	3.186400
9	3.286500
10	3.311400
11	3.148800
12	3.132900
13	3.317400
14	3.025100
15	3.128500
16	3.135800
17	3.218500
18	3.101600
19	2.938600
20	3.123200
21	3.078200
22	2.890700
23	2.993800
24	3.033000
25	3.021800
26	3.046000
27	3.148700
28	2.864700
29	2.890400
30	2.959600
31	2.879600
32	2.882100
33	2.889700
34	2.805100
35	2.779300
36	2.676200
37	2.791600
38	2.807400
39	2.751700
40	2.809400
41	2.713100
42	2.781800
43	2.510500
44	2.694900
45	2.582900
46	2.727100
47	2.610800
48	2.403000
49	2.630800
50	2.625700
51	2.442600
52	2.582000
53	2.511500
54	2.469400
55	2.473100
56	2.635400
57	2.550400
58	2.568600
59	2.378000
60	2.431600
61	2.546900
62	2.482400
63	2.473800
64	2.392800
65	2.292700
66	2.379500
67	2.467500
68	2.340900
69	2.346000
70	2.648600
71	2.505700
72	2.451400
73	2.459000
74	2.340700
75	2.422200
76	2.537500
77	2.459100
78	2.445700
79	2.388500
80	2.363800
81	2.367700
82	2.490300
83	2.463000
84	2.418000
85	2.338900
86	2.450300
87	2.410500
88	2.235300
89	2.227500
90	2.480600
91	2.424100
92	2.448900
93	2.559700
94	2.378700
95	2.398500
96	2.244800
97	2.340100
98	2.509500
99	2.514300
100	2.429600
101	2.352600
102	2.333300
103	2.328200
104	2.372100
105	2.323600
106	2.363700
107	2.390000
108	2.394100
109	2.349900
110	2.412500
111	2.290700
112	2.394800
113	2.408200
114	2.381200
115	2.282400
116	2.313200
117	2.371000
118	2.329800
119	2.212200
120	2.339200
121	2.396000
122	2.362200
123	2.416200
124	2.240400
125	2.511200
126	2.442300
127	2.371300
128	2.358400
129	2.098500
130	2.321500
131	2.334700
132	2.402600
133	2.090100
134	2.471200
135	2.309100
136	2.375700
137	2.186500
138	2.193300
139	2.340200
140	2.337500
141	2.275000
142	2.395500
143	2.368100
144	2.402500
145	2.343000
146	2.242400
147	2.305600
148	2.326900
149	2.311900
150	2.286300
151	2.324800
152	2.200600
153	2.321900
154	2.403200
155	2.378400
156	2.451600
157	2.290600
158	2.326000
159	2.258000
160	2.349700
161	2.316900
162	2.337300
163	2.269900
164	2.329800
165	2.241000
166	2.323900
167	2.168500
168	2.401000
169	2.329400
170	2.209200
171	2.272800
172	2.214800
173	2.484300
174	2.120900
175	2.243800
176	2.323200
177	2.189100
178	2.199200
179	2.204100
180	2.328500
181	2.257800
182	2.325800
183	2.194800
184	2.456500
185	2.183000
186	2.291500
187	2.307500
188	2.486600
189	2.310300
190	2.310000
191	2.316400
192	2.349800
193	2.304500
194	2.189200
195	2.309000
196	2.435400
197	2.255500
198	2.344400
199	2.195100
200	2.190500
201	2.214400
202	2.245100
203	2.289400
204	2.275200
205	2.227700
206	2.255200
207	2.069300
208	2.382000
209	2.230900
210	2.314200
211	2.412700
212	2.300600
213	2.304700
214	2.209900
215	2.142700
216	2.181100
217	2.263200
218	2.371100
219	2.229100
220	2.335600
221	2.166700
222	2.364400
223	2.342700
224	2.351700
225	2.243900
226	2.254400
227	2.227200
228	2.314000
229	2.071200
230	2.366200
231	2.211900
232	2.236300
233	2.118500
234	2.376700
235	2.189000
236	2.384200
237	2.244900
238	2.489100
239	2.255800
240	2.238900
241	2.298900
242	2.186400
243	2.260600
244	2.259100
245	2.108300
246	2.125900
247	2.337600
248	2.176300
249	2.367900
250	2.327300
251	2.352500
252	2.238100
253	2.278600
254	2.188300
255	2.317800
256	2.349400
257	2.228000
258	2.068800
259	2.396500
260	2.311700
261	2.172800
262	2.243000
263	2.192500
264	2.230900
265	2.259900
266	2.069800
267	2.308100
268	2.272500
269	2.188300
270	2.315800
271	2.296700
272	2.266600
273	2.218200
274	2.257500
275	2.225200
276	2.294700
277	2.219400
278	2.209000
279	2.319000
280	2.063100
281	2.364200
282	2.217700
283	2.134000
284	2.250600
285	2.127500
286	2.256000
287	2.213900
288	1.920300
289	2.268400
290	2.252600
291	2.233600
292	2.098500
293	2.330800
294	2.271700
295	2.241700
