 [3200/4689 1:09:31 < 32:22, 0.77 it/s, Epoch 2.05/3]
Step	Training Loss
1	3.363500
2	3.516300
3	3.635100
4	3.579400
5	3.619600
6	3.642400
7	3.546000
8	3.570900
9	3.706900
10	3.717200
11	3.492500
12	3.486000
13	3.703100
14	3.405200
15	3.487000
16	3.536100
17	3.602500
18	3.448800
19	3.293600
20	3.558300
21	3.483400
22	3.270900
23	3.418000
24	3.462100
25	3.453200
26	3.494600
27	3.600500
28	3.243000
29	3.330900
30	3.360500
31	3.316200
32	3.328900
33	3.374200
34	3.289300
35	3.251100
36	3.323500
37	3.263100
38	3.196600
39	3.344300
40	3.246800
41	3.207100
42	3.311200
43	2.959900
44	3.188800
45	3.111800
46	3.225200
47	3.156900
48	2.998700
49	3.121500
50	3.191000
51	3.039200
52	3.104100
53	3.079800
54	2.943900
55	3.008200
56	3.222500
57	3.020000
58	3.079400
59	2.972300
60	2.924600
61	2.963900
62	2.931800
63	2.912800
64	2.860400
65	2.731400
66	2.806900
67	2.936800
68	2.781900
69	2.811000
70	3.035900
71	2.850900
72	2.863500
73	2.862600
74	2.730400
75	2.788900
76	2.877400
77	2.822300
78	2.808100
79	2.716100
80	2.751900
81	2.678000
82	2.789000
83	2.772900
84	2.765800
85	2.736000
86	2.741700
87	2.707900
88	2.560000
89	2.531400
90	2.746500
91	2.708500
92	2.672900
93	2.825400
94	2.620300
95	2.666100
96	2.484600
97	2.584700
98	2.704400
99	2.701700
100	2.632500
101	2.545600
102	2.516200
103	2.481200
104	2.524300
105	2.464400
106	2.539300
107	2.550400
108	2.545100
109	2.499200
110	2.553200
111	2.419500
112	2.507700
113	2.558700
114	2.505500
115	2.402200
116	2.415800
117	2.465000
118	2.452200
119	2.311600
120	2.424900
121	2.490200
122	2.458100
123	2.507200
124	2.327600
125	2.562100
126	2.499100
127	2.443800
128	2.438800
129	2.180400
130	2.382500
131	2.409100
132	2.471100
133	2.171100
134	2.521300
135	2.374500
136	2.443200
137	2.253600
138	2.245300
139	2.396600
140	2.386300
141	2.330600
142	2.435300
143	2.415700
144	2.445200
145	2.378300
146	2.286000
147	2.358500
148	2.382900
149	2.339300
150	2.304500
151	2.354100
152	2.256900
153	2.358700
154	2.419100
155	2.423700
156	2.488400
157	2.324000
158	2.356000
159	2.277700
160	2.363400
161	2.344800
162	2.364800
163	2.298400
164	2.355800
165	2.262400
166	2.346000
167	2.196200
168	2.424200
169	2.349000
170	2.241800
171	2.294400
172	2.252100
173	2.497600
174	2.136400
175	2.250800
176	2.327800
177	2.210200
178	2.201100
179	2.216300
180	2.345200
181	2.274800
182	2.345800
183	2.207200
184	2.483800
185	2.220400
186	2.315800
187	2.329100
188	2.495100
189	2.317900
190	2.326100
191	2.334900
192	2.346600
193	2.316200
194	2.198500
195	2.324200
196	2.452500
197	2.264500
198	2.355400
199	2.219600
200	2.214400
201	2.234100
202	2.274800
203	2.304000
204	2.289900
205	2.236000
206	2.273800
207	2.084400
208	2.386200
209	2.237400
210	2.339500
211	2.421200
212	2.311200
213	2.314900
214	2.220000
215	2.166400
216	2.194500
217	2.278000
218	2.380300
219	2.238500
220	2.328300
221	2.184800
222	2.377000
223	2.347300
224	2.359300
225	2.267300
226	2.255700
227	2.242600
228	2.328800
229	2.099600
230	2.381100
231	2.233300
232	2.236700
233	2.138600
234	2.370800
235	2.199700
236	2.383900
237	2.257500
238	2.479800
239	2.266100
240	2.256200
241	2.293500
242	2.206500
243	2.268100
244	2.255000
245	2.130800
246	2.138400
247	2.348200
248	2.181900
249	2.373300
250	2.319600
251	2.376900
252	2.241000
253	2.300800
254	2.197000
255	2.321600
256	2.353800
257	2.230800
258	2.091200
259	2.399700
260	2.310000
261	2.174600
262	2.243800
263	2.192000
264	2.222300
265	2.270100
266	2.070900
267	2.313900
268	2.287800
269	2.188000
270	2.330000
271	2.301600
272	2.260400
273	2.216200
274	2.257300
275	2.223700
276	2.318900
277	2.215700
278	2.204600
279	2.337900
280	2.078800
281	2.373400
282	2.211200
283	2.144200
284	2.256500
285	2.125400
286	2.264100
287	2.220900
288	1.939900
289	2.263900
290	2.242300
291	2.243000
292	2.114200
293	2.321400
294	2.285300
295	2.249900
296	2.220100
297	2.107400
298	2.366800
299	2.242900
300	2.230200
301	2.026800
302	2.053200
303	2.226700
304	2.303600
305	2.167700
306	2.337800
307	2.200500
308	2.200000
