Step	Training Loss
1	3.363500
2	3.516300
3	3.640700
4	3.577300
5	3.617800
6	3.635100
7	3.530600
8	3.540400
9	3.657300
10	3.639300
11	3.405200
12	3.366700
13	3.536100
14	3.229900
15	3.301900
16	3.316000
17	3.363100
18	3.214000
19	3.061800
20	3.237700
21	3.183600
22	2.980200
23	3.069600
24	3.093500
25	3.063300
26	3.085800
27	3.163900
28	2.886700
29	2.899500
30	2.957400
31	2.878800
32	2.862400
33	2.851000
34	2.771900
35	2.742800
36	2.604100
37	2.749500
38	2.769600
39	2.679400
40	2.762500
41	2.661200
42	2.712700
43	2.477500
44	2.623600
45	2.502600
46	2.642800
47	2.528600
48	2.331500
49	2.562500
50	2.533000
51	2.357400
52	2.500600
53	2.425400
54	2.395000
55	2.388200
56	2.530500
57	2.463600
58	2.479000
59	2.260600
60	2.343400
61	2.457800
62	2.399200
63	2.388300
64	2.305000
65	2.206900
66	2.282800
67	2.364100
68	2.250500
69	2.240400
70	2.552200
71	2.425400
72	2.353000
73	2.346700
74	2.240400
75	2.318600
76	2.443200
77	2.353800
78	2.346000
79	2.294000
80	2.260600
81	2.288700
82	2.390800
83	2.363000
84	2.309700
85	2.222700
86	2.349400
87	2.306200
88	2.119800
89	2.140500
90	2.380400
91	2.312200
92	2.352400
93	2.449100
94	2.275200
95	2.289700
96	2.155100
97	2.217600
98	2.410400
99	2.412800
100	2.309300
101	2.258400
102	2.245000
103	2.246100
104	2.279200
105	2.231000
106	2.263700
107	2.299000
108	2.293100
109	2.246100
110	2.313700
111	2.199600
112	2.305800
113	2.297100
114	2.271300
115	2.188400
116	2.218000
117	2.246900
118	2.215500
119	2.109600
120	2.244800
121	2.303600
122	2.262500
123	2.308000
124	2.147100
125	2.408100
126	2.335500
127	2.261500
128	2.244600
129	2.011600
130	2.228500
131	2.243100
132	2.296500
133	2.000200
134	2.375200
135	2.198000
136	2.271700
137	2.091900
138	2.099100
139	2.242500
140	2.243100
141	2.174500
142	2.289600
143	2.279500
144	2.304700
145	2.241600
146	2.156800
147	2.224200
148	2.227000
149	2.208800
150	2.187600
151	2.238000
152	2.099000
153	2.223800
154	2.309200
155	2.273000
156	2.354200
157	2.197200
158	2.241000
159	2.177900
160	2.255200
161	2.240800
162	2.237400
163	2.175000
164	2.235900
165	2.150200
166	2.235900
167	2.085000
168	2.291900
169	2.241600
170	2.114300
171	2.183500
172	2.128400
173	2.389900
174	2.031500
175	2.146200
176	2.230300
177	2.099300
178	2.107000
179	2.114300
180	2.229500
181	2.166900
182	2.233900
183	2.104400
184	2.367200
185	2.101100
186	2.202900
187	2.222800
188	2.390000
189	2.218000
190	2.219000
191	2.212200
192	2.253700
193	2.230900
194	2.096600
195	2.221300
196	2.353000
197	2.164700
198	2.254800
199	2.121100
200	2.121300
201	2.121400
202	2.163200
203	2.206400
204	2.192600
205	2.147600
206	2.179500
207	1.994800
208	2.307500
209	2.154500
210	2.227200
211	2.329800
212	2.213800
213	2.222800
214	2.132000
215	2.064700
216	2.105800
217	2.182500
218	2.277200
219	2.140800
220	2.251400
221	2.093200
222	2.284300
223	2.249800
224	2.266400
225	2.163000
226	2.160800
227	2.146400
228	2.237000
229	1.996500
230	2.285200
231	2.124400
232	2.153300
233	2.036600
234	2.282900
235	2.098900
236	2.287100
237	2.157400
238	2.393300
239	2.169700
240	2.172200
241	2.200100
242	2.102300
243	2.182000
244	2.167400
245	2.019000
246	2.049300
247	2.251700
248	2.087000
249	2.271100
250	2.236400
251	2.273900
252	2.151600
253	2.186000
254	2.090000
255	2.215300
256	2.252100
257	2.131100
258	1.975900
259	2.303200
260	2.222700
261	2.067000
262	2.143300
263	2.086600
264	2.116000
265	2.150500
266	1.958400
267	2.204600
268	2.181400
269	2.074300
270	2.229500
271	2.186000
272	2.147400
273	2.098900
274	2.144000
275	2.099800
276	2.188800
277	2.095600
278	2.080800
279	2.209400
280	1.936300
281	2.250000
282	2.081300
283	2.005200
284	2.114500
285	1.982200
286	2.141200
287	2.094800
288	1.810600
289	2.135700
290	2.092900
291	2.110900
292	1.997300
293	2.182300
294	2.141100
295	2.111400
296	2.091600
297	1.956200
298	2.236400
299	2.101600
300	2.094100
301	1.874300
302	1.897400
303	2.084800
304	2.162700
305	2.041300
306	2.201900
307	2.046600
308	2.067100
309	2.042000
310	2.113600
311	2.162700
312	2.145000
313	2.147000
314	2.099700
